Date,Open,High,Low,Close,Adj Close,Volume,Ticker
2024-03-01,508.9800109863281,513.2899780273438,508.55999755859375,512.8499755859375,499.1145324707031,76844800,SPY
2024-03-04,512.030029296875,514.2000122070312,512.0,512.2999877929688,498.57928466796875,49799300,SPY
2024-03-05,510.239990234375,510.70001220703125,504.9100036621094,507.17999267578125,493.596435546875,72855600,SPY
2024-03-06,510.54998779296875,512.0700073242188,508.4200134277344,509.75,496.0976257324219,68382400,SPY
2024-03-07,513.1400146484375,515.8900146484375,509.80999755859375,514.8099975585938,501.0220642089844,58652100,SPY
2024-03-08,515.4600219726562,518.219970703125,511.1300048828125,511.7200012207031,498.0148010253906,86532500,SPY
2024-03-11,510.4800109863281,511.8800048828125,508.5,511.2799987792969,497.5865783691406,62557200,SPY
2024-03-12,513.4500122070312,517.3800048828125,510.8599853515625,516.780029296875,502.9393615722656,73114400,SPY
2024-03-13,517.1099853515625,517.2899780273438,514.489990234375,515.969970703125,502.15093994140625,55104100,SPY
2024-03-14,516.969970703125,517.1300048828125,511.82000732421875,514.9500122070312,501.1583251953125,110171800,SPY
2024-03-15,510.2099914550781,511.70001220703125,508.1199951171875,509.8299865722656,497.71710205078125,107646300,SPY
2024-03-18,514.0,515.47998046875,512.4400024414062,512.8599853515625,500.67510986328125,88893300,SPY
2024-03-19,512.1500244140625,516.0,511.1199951171875,515.7100219726562,503.4573974609375,60755300,SPY
2024-03-20,515.77001953125,520.6199951171875,515.0800170898438,520.47998046875,508.114013671875,69594600,SPY
2024-03-21,523.3900146484375,524.1099853515625,521.9099731445312,522.2000122070312,509.7931823730469,60256100,SPY
2024-03-22,522.1099853515625,522.6099853515625,520.969970703125,521.2100219726562,508.8266906738281,79070800,SPY
2024-03-25,519.7999877929688,520.9500122070312,519.6099853515625,519.77001953125,507.42095947265625,48512100,SPY
2024-03-26,521.22998046875,521.5800170898438,518.4000244140625,518.8099975585938,506.4836730957031,65463700,SPY
2024-03-27,521.7100219726562,523.2100219726562,519.489990234375,523.1699829101562,510.7400817871094,82999800,SPY
2024-03-28,523.2100219726562,524.6099853515625,522.780029296875,523.0700073242188,510.64251708984375,96294900,SPY
2024-04-01,523.8300170898438,524.3800048828125,520.969970703125,522.1599731445312,509.7540588378906,62477500,SPY
2024-04-02,518.239990234375,518.97998046875,516.47998046875,518.8400268554688,506.5130920410156,74230300,SPY
2024-04-03,517.719970703125,520.9500122070312,517.6699829101562,519.4099731445312,507.0695495605469,59155800,SPY
2024-04-04,523.52001953125,523.8699951171875,512.760009765625,513.0700073242188,500.880126953125,96858100,SPY
2024-04-05,514.4600219726562,520.4400024414062,514.010009765625,518.4299926757812,506.11273193359375,74546500,SPY
2024-04-08,519.1500244140625,520.1799926757812,517.8900146484375,518.719970703125,506.3958435058594,48401800,SPY
2024-04-09,520.5,520.75,514.3499755859375,519.3200073242188,506.98162841796875,68049200,SPY
2024-04-10,513.47998046875,516.1599731445312,512.0900268554688,514.1199951171875,501.9051208496094,82652800,SPY
2024-04-11,515.6799926757812,519.47998046875,512.0800170898438,518.0,505.6929931640625,70099000,SPY
2024-04-12,514.3699951171875,515.8200073242188,509.0799865722656,510.8500061035156,498.71282958984375,92561100,SPY
2024-04-15,515.1300048828125,515.2999877929688,503.5799865722656,504.45001220703125,492.46490478515625,92101400,SPY
2024-04-16,504.94000244140625,506.5,502.2099914550781,503.5299987792969,491.5667419433594,73484000,SPY
2024-04-17,506.04998779296875,506.2200012207031,499.1199951171875,500.54998779296875,488.65753173828125,75910300,SPY
2024-04-18,501.9800109863281,504.1300048828125,498.55999755859375,499.5199890136719,487.6520690917969,74548100,SPY
2024-04-19,499.44000244140625,500.4599914550781,493.8599853515625,495.1600036621094,483.3955993652344,102212600,SPY
2024-04-22,497.8299865722656,502.3800048828125,495.42999267578125,499.7200012207031,487.8473205566406,67961000,SPY
2024-04-23,501.7799987792969,506.0899963378906,499.5299987792969,505.6499938964844,493.6363830566406,64633600,SPY
2024-04-24,506.55999755859375,507.3699951171875,503.1300048828125,505.4100036621094,493.40216064453125,55928100,SPY
2024-04-25,499.17999267578125,504.2699890136719,497.489990234375,503.489990234375,491.5276794433594,69122400,SPY
2024-04-26,506.3500061035156,509.8800048828125,505.70001220703125,508.260009765625,496.1843566894531,64306100,SPY
2024-04-29,510.0899963378906,510.75,507.25,510.05999755859375,497.94158935546875,46415400,SPY
2024-04-30,508.55999755859375,509.55999755859375,501.9800109863281,501.9800109863281,490.0535888671875,77483600,SPY
2024-05-01,501.3800048828125,508.19000244140625,499.8699951171875,500.3500061035156,488.4622802734375,80242800,SPY
2024-05-02,504.1499938964844,505.8900146484375,499.54998779296875,505.0299987792969,493.0310974121094,62550200,SPY
2024-05-03,511.1600036621094,512.5499877929688,508.55999755859375,511.2900085449219,499.1423645019531,72756700,SPY
2024-05-06,513.75,516.6099853515625,513.2999877929688,516.5700073242188,504.2969055175781,47264700,SPY
2024-05-07,517.5599975585938,518.5700073242188,516.4500122070312,517.1400146484375,504.8533935546875,52561300,SPY
2024-05-08,515.260009765625,517.739990234375,515.1400146484375,517.1900024414062,504.90216064453125,42047200,SPY
2024-05-09,517.3800048828125,520.2100219726562,516.7100219726562,520.1699829101562,507.8113708496094,43643700,SPY
